99
1,66697,51
2,105042,49
3,90639,38
4,99791,36
5,64527,47
6,137390,39
7,122962,48
8,69982,35
9,132730,48
10,126460,35
11,92561,23
12,47494,36
13,85110,46
14,132886,47
15,61574,24
16,118572,29
17,124952,32
18,98225,32
19,86039,32
20,133971,60
21,49826,19
22,139335,23
23,63175,30
24,112124,51
25,42176,59
26,59139,22
27,147846,27
28,104657,33
29,83166,41
30,104129,57
31,55195,33
32,134180,48
33,131707,18
34,136658,40
35,116899,19
36,51123,18
37,127954,25
38,147623,56
39,94681,23
40,53270,49
41,145594,46
42,124396,40
43,129967,25
44,62169,29
45,122997,37
46,81089,27
47,44200,48
48,107892,57
49,64689,50
50,81678,32
51,81022,53
52,97810,45
53,109045,37
54,59061,24
55,134745,46
56,49098,52
57,58310,38
58,124554,27
59,110362,33
60,78982,51
61,60898,43
62,95996,44
63,105633,19
64,79416,51
65,146809,34
66,125121,18
67,148930,54
68,106560,38
69,52070,25
70,55223,34
71,85287,24
72,122762,36
73,144883,22
74,49640,41
75,63369,42
76,47396,47
77,138078,52
78,105820,42
79,70508,24
80,76299,38
81,131214,44
82,144973,32
83,70407,60
84,140311,49
85,138120,56
86,136287,40
87,136689,41
88,138800,19
89,61900,33
90,84115,19
91,82588,58
92,131116,31
93,140097,33
94,47552,44
95,80617,37
96,106130,60
97,82938,20
98,71483,44
99,127371,44
